Year,Name,Status,Latitude,Longitude,Wind Speed,Pressure,Timestamp,Max Wind,Before (0) or After (1)
2005,MARIA,EX,55.5N,31.0W,65,962,6096,100,1
2005,MARIA,EX,57.0N,29.0W,65,967,6102,100,1
2005,MARIA,EX,58.5N,26.0W,65,970,6108,100,1
2005,MARIA,EX,61.0N,23.0W,60,972,6114,100,1
2005,MARIA,EX,62.0N,21.0W,55,974,6120,100,1
2005,MARIA,EX,62.9N,19.0W,50,976,6126,100,1
2005,MARIA,EX,63.5N,16.0W,45,980,6132,100,1
2005,MARIA,EX,63.0N,10.0W,45,983,6138,100,1
2005,MARIA,EX,63.0N,0.0W,45,984,6144,100,1
2005,NATE,TD,28.4N,67.0W,30,1008,5946,80,0
2005,NATE,TS,28.4N,66.6W,35,1005,5952,80,0
2005,NATE,TS,28.5N,66.5W,40,1002,5958,80,0
2005,NATE,TS,28.5N,66.5W,50,1000,5964,80,0
2005,NATE,TS,28.6N,66.4W,50,997,5970,80,0
2005,NATE,TS,28.7N,66.3W,55,994,5976,80,0
2005,NATE,TS,28.7N,66.3W,60,990,5982,80,0
2005,NATE,HU,28.9N,66.2W,65,987,5988,80,0
2005,NATE,HU,29.3N,66.0W,70,985,5994,80,0
2005,NATE,HU,29.6N,65.7W,75,984,6000,80,0
2005,NATE,HU,30.0N,65.0W,75,982,6006,80,0
2005,NATE,HU,30.5N,63.8W,75,982,6012,80,0
2005,NATE,HU,31.4N,62.7W,75,982,6018,80,0
2005,NATE,HU,32.6N,61.1W,80,979,6024,80,1
2005,NATE,HU,33.4N,59.1W,70,985,6030,80,1
2005,NATE,HU,34.0N,55.8W,65,986,6036,80,1
2005,NATE,TS,34.5N,53.4W,55,991,6042,80,1
2005,NATE,TS,34.7N,50.8W,55,997,6048,80,1
2005,NATE,TS,34.6N,49.0W,45,997,6054,80,1
2005,NATE,TS,34.5N,45.9W,45,997,6060,80,1
2005,NATE,EX,34.9N,44.1W,45,997,6066,80,1
2005,NATE,EX,35.2N,42.1W,40,999,6072,80,1
2005,NATE,EX,36.0N,40.6W,40,1000,6078,80,1
2005,NATE,EX,37.4N,38.3W,40,1001,6084,80,1
2005,NATE,EX,39.2N,35.6W,40,1001,6090,80,1
2005,NATE,EX,41.6N,33.3W,40,1002,6096,80,1
2005,NATE,EX,43.5N,32.0W,35,1002,6102,80,1
2005,NATE,EX,44.0N,28.1W,35,1003,6108,80,1
2005,NATE,EX,46.0N,25.0W,35,1003,6114,80,1
2005,OPHELIA,TD,25.8N,78.6W,25,1009,5958,75,0
2005,OPHELIA,TD,26.3N,78.3W,25,1010,5964,75,0
2005,OPHELIA,TD,26.6N,78.3W,25,1010,5968,75,0
2005,OPHELIA,TD,26.8N,78.3W,25,1010,5970,75,0
2005,OPHELIA,TD,27.4N,78.5W,30,1006,5976,75,0
2005,OPHELIA,TS,27.9N,78.8W,35,1003,5982,75,0
2005,OPHELIA,TS,28.7N,79.2W,40,1000,5988,75,0
2005,OPHELIA,TS,28.8N,79.3W,45,997,5994,75,0
2005,OPHELIA,TS,28.8N,79.3W,45,994,6000,75,0
2005,OPHELIA,TS,28.7N,79.6W,50,994,6006,75,0
2005,OPHELIA,TS,28.6N,79.6W,55,988,6012,75,0
2005,OPHELIA,TS,28.6N,79.5W,60,988,6018,75,0
2005,OPHELIA,HU,28.6N,79.3W,65,990,6024,75,0
2005,OPHELIA,TS,28.9N,79.3W,55,990,6030,75,0
2005,OPHELIA,TS,29.3N,79.1W,55,983,6036,75,0
2005,OPHELIA,HU,29.8N,78.5W,65,983,6042,75,0
2005,OPHELIA,TS,30.2N,77.5W,60,983,6048,75,0
2005,OPHELIA,TS,30.9N,76.9W,60,984,6054,75,0
2005,OPHELIA,HU,31.5N,76.6W,65,976,6060,75,0
2005,OPHELIA,HU,31.7N,76.2W,70,977,6066,75,0
2005,OPHELIA,HU,31.8N,75.9W,70,977,6072,75,0
2005,OPHELIA,HU,31.7N,75.9W,75,978,6078,75,1
2005,OPHELIA,HU,31.6N,75.7W,70,978,6084,75,1
2005,OPHELIA,HU,31.4N,75.9W,65,978,6090,75,1
2005,OPHELIA,TS,31.2N,76.2W,60,980,6096,75,1
2005,OPHELIA,TS,31.2N,76.6W,60,985,6102,75,1
2005,OPHELIA,TS,31.5N,76.9W,55,988,6108,75,1
2005,OPHELIA,TS,31.7N,77.3W,60,989,6114,75,1
2005,OPHELIA,TS,31.8N,77.7W,60,989,6120,75,1
2005,OPHELIA,TS,31.9N,77.9W,60,990,6126,75,1
2005,OPHELIA,TS,32.1N,78.0W,60,989,6132,75,1
2005,OPHELIA,TS,32.3N,78.1W,60,988,6138,75,1
2005,OPHELIA,HU,32.6N,78.1W,65,985,6144,75,1
2005,OPHELIA,HU,32.9N,78.0W,70,980,6150,75,1
2005,OPHELIA,HU,33.4N,77.7W,75,980,6156,75,1
2005,OPHELIA,HU,33.9N,77.5W,75,979,6162,75,1
2005,OPHELIA,HU,34.2N,76.9W,75,979,6168,75,1
2005,OPHELIA,HU,34.5N,76.3W,70,982,6174,75,1
2005,OPHELIA,HU,34.7N,75.8W,65,984,6180,75,1
2005,OPHELIA,HU,34.7N,75.6W,65,986,6186,75,1
2005,OPHELIA,TS,34.6N,75.1W,60,987,6192,75,1
2005,OPHELIA,TS,34.7N,74.8W,55,993,6198,75,1
